event_id,source_mail_id,mention,mail_subject,best_alias,score,evidence
EV000006,E000004,DR 전환 리허설,RE: 백업 관련 회신드립니다,DR 복구 테스트,0.4444,"“백업 복구 테스트 DR 전환 리허설 관련 검토 결과… 논의 결과 1안으로 진행하기로 하였으며… 최종 확정은 Park Engineer, Lee PL 협의로 마무리하였습니다.”"
EV000008,E000006,DR 전환 리허설,RE: 관련 件 회신,DR 복구 테스트,0.4444,“백업 복구 테스트에서 DR 전환 리허설 관련 이슈가 확인되어 공유드립니다… 리스크로 식별된 항목은 영향도와 긴급도를 기준으로 우선순위를 부여하여 순차적으로 대응할 계획입니다.”
EV000009,E000006,DR 전환 리허설,RE: 관련 件 회신,DR 복구 테스트,0.4444,“추가 리소스가 필요할 수 있습니다.”
EV000025,E000017,사내 네트워크,사내 네트워크 정기 점검 일정 공지,결재 워크플로 개선,0.3529,방화벽 펌웨어 업데이트를 위해 주말 야간 시간대에 짧은 네트워크 중단이 발생할 예정입니다. 작업 시간은 약 20분 내외로 예상됩니다.
EV000052,E000037,Security Operations,백업 복구 테스트 1차 검토 결과 배포 완료 공유 관련 미결 항목 정리 및 담당자 지정 요청,EDI 협력사 I/F,0.2667,“백업 복구 테스트의 DR 전환 리허설 작업이 완료되어 결과를 공유드립니다… 마무리 확인은 Han PM이 진행하였습니다.”
EV000053,E000038,Security Operations,전사 정보보호 교육 이수 안내,EDI 협력사 I/F,0.2667,“기한 연장은 어려운 점 양해 부탁드립니다… 현재 부서 평균 이수율이 목표치에 다소 못 미치는 상황이라 기한 내 수강을 부탁드립니다.”
EV000054,E000039,Data Platform,연말정산 관련 서류 제출 요청,PLM 개정,0.3158,“해당되는 경우 추가 서류를 기한 내 보완 제출해 주시기 바랍니다.”
EV000055,E000040,Service Platform,[ITSM] 결재선 결과 정리 및 공유 검토 요청,EDI 협력사 I/F,0.2963,"“첨부된 자료를 확인하시고, 의견을 이번 주 금요일까지 회신해 주시면 감사하겠습니다.”"
EV000056,E000041,Data Platform,RE: DW 매출마트 우선순위 협의 필요 적용 범위 확인 관련 미결 항목 정리 및 담당자 지정 요청 건으로 일정 재조정 필요 사항 포함,PLM 개정,0.3158,"“논의 결과 1안으로 진행하기로 하였으며… 최종 확정은 Park Engineer, Kim PM 협의로 마무리하였습니다.”"
EV000060,E000043,전사 정보보호 교육,RE: 전사 정보보호 교육 이수 안내,인사 모듈 개편,0.3333,기한 내 수강을 부탁드립니다.
EV000103,E000073,재택근무 운영,재택근무 신청 절차 변경 안내,재무 모듈 개선,0.4,적용 시점은 다음 달 1일부터입니다.
EV000118,E000079,사무용품 신청,RE: 사무용품 신청 마감 안내,품질지표 QM,0.2857,"이번 달 사무용품 신청 마감이 임박하여 안내드립니다. 부서별 예산 한도 내에서 신청 부탁드리며, 한도 초과 건은 부서장 승인이 필요합니다."
EV000123,E000083,Office Supplies,RE: 사무용품 신청 마감 안내,SSO 연동,0.1905,"""이번 달 사무용품 신청 마감이 임박하여 안내드립니다... 기한 내 접수 부탁드립니다."""
EV000139,E000094,Logistics IT,재택근무 신청 절차 변경 안내,OMS 연계,0.3333,“변경된 신청 마감 시점과 승인 절차를 확인 부탁드립니다. 적용 시점은 다음 달 1일부터입니다.”
EV000140,E000095,Logistics IT,FW: 재택근무 신청 절차 변경 안내,OMS 연계,0.3333,"“다음 달부터는 주 단위 사전 신청제로 운영되며, 부서장 승인 후 확정됩니다.”"
